name_en,name_ko,league,league_en
Eibar,에이바르,la-liga,La Liga / Segunda
Eintracht Frankfurt,프랑크푸르트,bundesliga,Bundesliga / 2. Bundesliga
Elche,엘체,la-liga,La Liga / Segunda
Elversberg,엘버스베르크,bundesliga,Bundesliga / 2. Bundesliga
Empoli,엠폴리,serie-a,Serie A / Serie B
Espanyol,에스파뇰,la-liga,La Liga / Segunda
Espanyol Barcelona,에스파뇰,la-liga,La Liga / Segunda
Everton,에버턴,premier-league,Premier League / Championship
Fenerbahce,페네르바체,other,Other (UCL opponents)
Ferencvaros,페렌츠바로시,other,Other (UCL opponents)
Feyenoord Rotterdam,페예노르트,other,Other (UCL opponents)
Fiorentina,피오렌티나,serie-a,Serie A / Serie B
Fortuna Dusseldorf,뒤셀도르프,bundesliga,Bundesliga / 2. Bundesliga
Freiburg,프라이부르크,bundesliga,Bundesliga / 2. Bundesliga
Frosinone,프로시노네,serie-a,Serie A / Serie B
Fulham,풀럼,premier-league,Premier League / Championship
Galatasaray,갈라타사라이,other,Other (UCL opponents)
Genk,헹크,other,Other (UCL opponents)
Genoa,제노아,serie-a,Serie A / Serie B
Getafe,헤타페,la-liga,La Liga / Segunda
Girona,지로나,la-liga,La Liga / Segunda
Granada,그라나다,la-liga,La Liga / Segunda
Grenoble,그르노블,ligue-1,Ligue 1 / Ligue 2
Greuther Furth,퓌르트,bundesliga,Bundesliga / 2. Bundesliga
Guingamp,갱강,ligue-1,Ligue 1 / Ligue 2
Hamburger,함부르크,bundesliga,Bundesliga / 2. Bundesliga
Hannover,하노버,bundesliga,Bundesliga / 2. Bundesliga
Heidenheim,하이덴하임,bundesliga,Bundesliga / 2. Bundesliga
Hellas Verona,베로나,serie-a,Serie A / Serie B
Hoffenheim,호펜하임,bundesliga,Bundesliga / 2. Bundesliga
Holstein Kiel,홀슈타인 킬,bundesliga,Bundesliga / 2. Bundesliga
Huesca,우에스카,la-liga,La Liga / Segunda
Hull City,헐 시티,premier-league,Premier League / Championship
Inter,인터 밀란,serie-a,Serie A / Serie B
Internazionale Milano,인터 밀란,serie-a,Serie A / Serie B
Ipswich Town,입스위치,premier-league,Premier League / Championship
Juventus,유벤투스,serie-a,Serie A / Serie B
Kairat Almaty,카이라트,other,Other (UCL opponents)
Kaiserslautern,카이저슬라우테른,bundesliga,Bundesliga / 2. Bundesliga
Karlsruher,카를스루에,bundesliga,Bundesliga / 2. Bundesliga
Kobenhavn,코펜하겐,other,Other (UCL opponents)
Koln,쾰른,bundesliga,Bundesliga / 2. Bundesliga
Las Palmas,라스팔마스,la-liga,La Liga / Segunda
Laval,라발,ligue-1,Ligue 1 / Ligue 2
Lazio,라치오,serie-a,Serie A / Serie B
Le Havre,르아브르,ligue-1,Ligue 1 / Ligue 2
Le Mans,르망,ligue-1,Ligue 1 / Ligue 2
Lecce,레체,serie-a,Serie A / Serie B
Leeds United,리즈 유나이티드,premier-league,Premier League / Championship
Leganes,레가네스,la-liga,La Liga / Segunda
Leicester City,레스터 시티,premier-league,Premier League / Championship
Leipzig,RB 라이프치히,bundesliga,Bundesliga / 2. Bundesliga
Lens,랑스,ligue-1,Ligue 1 / Ligue 2
Levante,레반테,la-liga,La Liga / Segunda
Leverkusen,레버쿠젠,bundesliga,Bundesliga / 2. Bundesliga
Lille,릴,ligue-1,Ligue 1 / Ligue 2
Liverpool,리버풀,premier-league,Premier League / Championship
Lorient,로리앙,ligue-1,Ligue 1 / Ligue 2
